FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1017,KILLINJ,F,2020,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,F,2021,4,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,F,2022,7,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,F,2023,1,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,F,2024,3,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,M,2020,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,M,2021,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,M,2022,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,M,2023,2,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,KILLINJ,M,2024,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,ROADACC,9,2020,0,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,ROADACC,9,2021,3,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,ROADACC,9,2022,4,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,ROADACC,9,2023,1,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1017,ROADACC,9,2024,1,201.0,1017.0,Baldissero Canavese,533.0,4.5064,2020.0,both
A,1018,KILLINJ,F,2020,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,F,2021,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,F,2022,4,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,F,2023,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,F,2024,6,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,M,2020,0,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,M,2021,0,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,M,2022,0,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,M,2023,0,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,KILLINJ,M,2024,0,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,ROADACC,9,2020,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,ROADACC,9,2021,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,ROADACC,9,2022,3,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,ROADACC,9,2023,2,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1018,ROADACC,9,2024,3,201.0,1018.0,Baldissero Torinese,3671.0,15.4054,2020.0,both
A,1019,KILLINJ,F,2020,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
