ID_COMUNE,COMUNE,OBS_VALUE,RESIDENTI,SUPERFICIE (KMQ),DENSITA_POPOLAZIONE,DENSITA_INCIDENTI,INCIDENTI_PRO_CAPITE(1000)
1052,Canischio,1,277,11.9505,23.17894648759466,0.08367850717543199,3.6101083032490977
1053,Cantalupa,4,2574,11.1953,229.91791198092056,0.3572927925111431,1.554001554001554
1054,Cantoira,7,588,23.0319,25.5298086566892,0.3039262935320143,11.904761904761903
1055,Caprie,19,2057,16.4078,125.36720340325941,1.1579858360048267,9.236752552260572
1056,Caravino,3,901,11.5371,78.09588198074039,0.2600306836206672,3.329633740288568
1057,Carema,8,739,10.2579,72.04203589428636,0.7798867214537089,10.825439783491206
1058,Carignano,59,9051,50.679,178.59468418871722,1.1641902957832633,6.518616727433432
1059,Carmagnola,295,28399,95.7148,296.70437591678615,3.082072991846611,10.387689707384062
1060,Casalborgone,10,1862,20.125,92.52173913043478,0.4968944099378882,5.370569280343717
1061,Cascinette d'Ivrea,10,1532,2.1726,705.1459081285096,4.602780079167817,6.5274151436031325
1062,Caselette,29,3005,14.3136,209.9401967359714,2.026045159847977,9.650582362728786
1063,Caselle Torinese,125,13749,23.5513,583.7894298828514,5.307562639854275,9.091570296021528
1064,Castagneto Po,25,1755,11.4732,152.9651710072168,2.1789910399888437,14.245014245014245
1065,Castagnole Piemonte,3,2165,17.2796,125.29225213546611,0.17361512997986067,1.3856812933025404
1066,Castellamonte,52,9667,38.7063,249.75262424979914,1.343450549393768,5.379124857763525
1067,Castelnuovo Nigra,3,416,28.3756,14.660482950140262,0.10572463665966535,7.211538461538462
1068,Castiglione Torinese,46,6446,14.1345,456.04726024974354,3.254448335632672,7.136208501396215
1069,Cavagnolo,12,2237,12.3285,181.44948696110637,0.9733544226791581,5.364327223960662
1070,Cavour,47,5385,48.9591,109.98976696875556,0.9599849670439203,8.727948003714019
1071,Cercenasco,10,1761,13.1595,133.81967399977202,0.7599072913104602,5.6785917092561045
1072,Ceres,5,1032,28.0516,36.789345349284886,0.1782429522736671,4.844961240310077
1073,Ceresole Reale,2,167,99.8147,1.6731002547720926,0.02003712879966578,11.976047904191617
1074,Cesana Torinese,21,913,121.7001,7.502048067339303,0.17255532246892155,23.001095290251914
1075,Chialamberto,1,353,35.4478,9.958304887750439,0.02821049543272079,2.8328611898017
1076,Chianocco,24,1569,18.6134,84.29411069444595,1.2893936626301483,15.296367112810707
1077,Chiaverano,12,2021,12.0221,168.10706948037364,0.9981617188344798,5.937654626422563
1078,Chieri,257,36001,54.1975,664.2557313529222,4.74191614004336,7.138690591928002
1079,Chiesanuova,0,233,4.1189,56.56850129889048,0.0,0.0
1080,Chiomonte,15,860,26.7549,32.14364471554743,0.5606449659688506,17.441860465116278
1081,Chiusa di San Michele,13,1565,5.9165,264.5144933660103,2.197244992816699,8.30670926517572
1082,Chivasso,308,26497,51.2378,517.1377381542533,6.0111870533083,11.623957429142921
1083,Ciconio,2,360,3.1638,113.78721790252227,0.6321512105695682,5.555555555555555
1084,Cintano,0,242,4.9345,49.04245617590435,0.0,0.0
1085,Cinzano,0,321,6.1962,51.805945579548755,0.0,0.0
1086,Ciriè,152,18261,17.7329,1029.7808029143569,8.571638028748822,8.323750068451892
1087,Claviere,0,202,2.6872,75.17118189937482,0.0,0.0
