ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1016,morti_e_feriti,morti,2021,0,201,Balangero,3064,13.0063
1016,morti_e_feriti,morti,2022,0,201,Balangero,3064,13.0063
1016,morti_e_feriti,morti,2023,0,201,Balangero,3064,13.0063
1016,morti_e_feriti,morti,2024,1,201,Balangero,3064,13.0063
1016,incidenti_stradali,incidenti,2020,4,201,Balangero,3064,13.0063
1016,incidenti_stradali,incidenti,2021,2,201,Balangero,3064,13.0063
1016,incidenti_stradali,incidenti,2022,3,201,Balangero,3064,13.0063
1016,incidenti_stradali,incidenti,2023,4,201,Balangero,3064,13.0063
1016,incidenti_stradali,incidenti,2024,7,201,Balangero,3064,13.0063
1017,morti_e_feriti,feriti,2020,0,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,feriti,2021,4,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,feriti,2022,7,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,feriti,2023,1,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,feriti,2024,3,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,morti,2020,0,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,morti,2021,0,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,morti,2022,0,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,morti,2023,2,201,Baldissero Canavese,533,4.5064
1017,morti_e_feriti,morti,2024,0,201,Baldissero Canavese,533,4.5064
1017,incidenti_stradali,incidenti,2020,0,201,Baldissero Canavese,533,4.5064
1017,incidenti_stradali,incidenti,2021,3,201,Baldissero Canavese,533,4.5064
1017,incidenti_stradali,incidenti,2022,4,201,Baldissero Canavese,533,4.5064
1017,incidenti_stradali,incidenti,2023,1,201,Baldissero Canavese,533,4.5064
1017,incidenti_stradali,incidenti,2024,1,201,Baldissero Canavese,533,4.5064
1018,morti_e_feriti,feriti,2020,2,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,feriti,2021,2,201,Baldissero Torinese,3671,15.4054
